Common name ,Creek name,Creek Type,Notes,Local_Rec,Source,Site ID,Site,Creek number (UCSGS),Lat,Long,Elevation,URL
Santa Maria River at Santa Maria,SANTA MARIA RIVER @ SUEY CROSSING,UA,"This large river flows right next to the town of Santa Maria and is the confluence of the Sisquoc and Cuyama River. This river is charecterized by its wide floodplane channel and gravely banks, and generally has low flow. During storms the Santa Maria can swell to large flows rapidly, which can pose hazards to swimmers and the unhoused people that live in the flooplane near the town of Santa Maria. ","Do not swim in this river, its gross and can expose you to agricultural and city runoff.",https://en.wikipedia.org/wiki/Santa_Maria_River_(California),28,780f949f-8ca2-4cfc-aba9-08da0e08ab4f,11140585,34.9683112,-120.404051,250,https://rain.cosbpw.net/site/?site_id=28&site=780f949f-8ca2-4cfc-aba9-08da0e08ab4f
Sisquoc River at Grarey,Sisquoc River @ Garey (528),,At this location the Sisquoc River is fed by waters form the San Rafael Mountains in the San Rafael Wildreness. This river is free flowing and undammed meaning that changed in weather have the potential to cause large flutuations in flow. As it is free flowing it supports populations of the endangered steelhead trout. For these reasons please be extra respectful to take care of the river as you swim. In the dry season it is normal for this river to not flow. ,Only swim in this river if you are in the in the wilderness area or in the mountains. Backpacking should give you the best access to swimming areas.,https://en.wikipedia.org/wiki/Sisquoc_River,131,4e9ef228-2920-4fd9-8c04-79dbf16fd39a,528,34.894,-120.306,354,https://rain.cosbpw.net/site/?site_id=131&site=4e9ef228-2920-4fd9-8c04-79dbf16fd39a
Santa Ynez River at Lompoc Airport,SANTA YNEZ R A H ST NR LOMPOC CA,U,"The Santa Ynez River flows throught east to west throught the Santa Ynez Valley and outputs to the ocean near the city of Lompoc. This river drains the north slope of the Santa Ynez Mountains and the south slope of the San Rafael Mountains making it watershed 890 square miles. This river can have flashy flows during the wet season and can be completely dry in the summers. This river is home threatened steelhead populations and in some locations golden beavers. At this location the stream is near the end of its course, and it is somewhat urban. The Red Rocks swimming hole is a highly recommended swimming location of the Santa Ynez River","Only swim on this river if you are in the mountanous areas of the watershed. Red Rock swimming hole is a local favorite, located in the Los Padres National Forest.",https://en.wikipedia.org/wiki/Santa_Ynez_River,20,08f3908e-b09f-4bbe-85c9-702af65fa1e4,11134000,34.6683162,-120.4579411,56,https://rain.cosbpw.net/site/?site_id=20&site=08f3908e-b09f-4bbe-85c9-702af65fa1e4
Zaca Creek ,ZACA C NR BUELLTON CA,,Zaca Creek is a small tributary of the Santa Ynez River fed by waters from the Purisima Hills. It joins the Santa Ynez below the Santa Ynez Airport and lake Cachuma. ,"Although you may be able to swim here, the flows are generally unimpressive and will likely not lead to a very pleasant experience.",,17,f633ad26-c5c8-46ae-baaa-14cc3f69c049,11129800,34.6485961,-120.1843172,471,https://rain.cosbpw.net/site/?site_id=17&site=f633ad26-c5c8-46ae-baaa-14cc3f69c049
Alamo Pintado Creek near Solvang,ALAMO PINTADO C NR SOLVANG CA,,Alamo Pintado Creek is a small tributary of the Santa Ynez River and drains the hills surrounding the city of Solvang. Near Solvang the creek becomes urban and less fit for swimming.,"Although you may be able to swim here, the flows are generally unimpressive and will likely not lead to a very pleasant experience.",,15,0432b2f0-5fa1-48b7-b23c-1c2098607903,11128250,34.6183198,-120.120703,540,https://rain.cosbpw.net/site/?site_id=15&site=0432b2f0-5fa1-48b7-b23c-1c2098607903
Santa Ynez River near Solvang,SYR @ Solvang ,U,The Santa Ynez River flows throught east to west throught the Santa Ynez Valley and outputs to the ocean near the city of Lompoc. This river drains the north slope of the Santa Ynez Mountains and the south slope of the San Rafael Mountains making it watershed 890 square miles. This river can have flashy flows during the wet season and can be completely dry in the summers. This river is home threatened steelhead populations and in some locations golden beavers. At this location the stream is urban due to its proximity to Solvang. Directly above Solvang the Santa Ynez is not urban or agricultural and is fed by the Lake Cachuma resivoir. The Red Rocks swimming hole is a highly recommended swimming location of the Santa Ynez River,"Only swim on this river if you are in the mountanous areas of the watershed. Red Rock swimming hole is a local favorite, located in the Los Padres National Forest.",https://en.wikipedia.org/wiki/Santa_Ynez_River,113,997893d1-53e2-4791-b6b9-b49a85124284,2533,34.585,-120.1436,380,https://rain.cosbpw.net/site/?site_id=113&site=997893d1-53e2-4791-b6b9-b49a85124284
Santa Ynez River below Lake Cachuma,SYR @ Los Laureles,,The Santa Ynez River flows throught east to west throught the Santa Ynez Valley and outputs to the ocean near the city of Lompoc. This river drains the north slope of the Santa Ynez Mountains and the south slope of the San Rafael Mountains making it watershed 890 square miles. This river can have flashy flows during the wet season and can be completely dry in the summers. This river is home threatened steelhead populations and in some locations golden beavers. At this location directly above Lake Cachuma. In this location the Santa Ynez is does not have agricultural or urban impacts. The Red Rocks swimming hole is a highly recommended swimming location of the Santa Ynez River,"Only swim on this river if you are in the mountanous areas of the watershed. Red Rock swimming hole is a local favorite, located in the Los Padres National Forest.",https://en.wikipedia.org/wiki/Santa_Ynez_River,90,eb0d0a4c-b3fe-46ae-b180-ca9a83c7044f,534,34.544,-119.865,800,https://rain.cosbpw.net/site/?site_id=90&site=eb0d0a4c-b3fe-46ae-b180-ca9a83c7044f
Santa Ynez River Below Gibraltar Resivoir,SYR below Gibraltar,,"The Santa Ynez river flows throught east to west throught the Santa Ynez Valley and outputs to the ocean near the city of Lompoc. This river drains the north slope of the Santa Ynez Mountains and the south slope of the San Rafael Mountains making it watershed 890 square miles. This river can have flashy flows during the wet season and can be completely dry in the summers. This river is home threatened steelhead populations and in some locations golden beavers. At this location directly below Gibraltar Resivoir, the Santa Ynez is does not have agricultural or urban impacts. The Red Rocks swimming hole is a highly recommended swimming location of the Santa Ynez River","Only swim on this river if you are in the mountanous areas of the watershed. Red Rock swimming hole is a local favorite, located in the Los Padres National Forest.",https://en.wikipedia.org/wiki/Santa_Ynez_River,82,b815d149-8b2f-40a6-89fd-15505e46b8e4,542,34.525,-119.686,1400,https://rain.cosbpw.net/site/?site_id=82&site=b815d149-8b2f-40a6-89fd-15505e46b8e4
Carpenteria Creek near Carpenteria,CARPINTERIA C NR CARPINTERIA CA ,U,The Carpenteria Creek drains the portions of the Santa Ynez Mountains including Snowball Mountain. At this location the creek is urban but above the town of Carpeteria the creek becomes more wild and more suitable for swimming. ,"Only swim here if you are well above the city of Carpenteria, swimming at or below carpenteria can expose you to city runoff.",https://en.wikipedia.org/wiki/Carpinteria_Creek,3,37ae7b77-d56d-4d49-b6ca-241b3be5b030,11119500,34.4013836,-119.4865103,130,https://rain.cosbpw.net/site/?site_id=3&site=37ae7b77-d56d-4d49-b6ca-241b3be5b030
Montecito Creek at Monetecito ,Montecito Creek,U,Montecito Creek drains portions of the Santa Ynez Mountains. At this location the creek is urban but above the town of Carpenteria the creek becomes more wild and possibly more swimable. ,"Only swim here if you are well above the city of Montecito, swimming at or below Montecito can expose you to city runoff.",,46,23996f85-4fa0-4cfb-987b-a5f131ce04f9,22145,34.429587,-119.640544,150,https://rain.cosbpw.net/site/?site_id=46&site=23996f85-4fa0-4cfb-987b-a5f131ce04f9
Mission Creek at Santa Barbara,Mission Creek,U,"Mission Creek drains 7,400 acres including parts of the Los Padres National Forest. This creek goes through downtown Santa Barbara. It is unadvisable to swim in the urban portions of this creek, due to channelizations and water quality concerns. ","Only swim here if you are well above the city of Santa Barbara, swimming at or below Santa Barbara can expose you to city runoff.",https://sbparksandrec.santabarbaraca.gov/creeks/mission-creek,56,808169ce-5fac-461a-90cb-41f9ff8e016f,538,34.427222,-119.724444,137,https://rain.cosbpw.net/site/?site_id=56&site=808169ce-5fac-461a-90cb-41f9ff8e016f
Sisquoc River Below Los Padres National Forest,SISQUOC R NR SISQUOC CA,,At this location the Sisquoc River is fed by waters form the San Rafael Mountains in the San Rafael Wildreness. This river is free flowing and undammed meaning that changed in weather have the potential to cause large flutuations in flow. As it is free flowing it supports populations of the endangered steelhead trout. For these reasons please be extra respectful to take care of the river as you swim. In the dry season it is normal for this river to not flow. ,Only swim in this river if you are in the in the wilderness area or in the mountains. Backpacking should give you the best access to swimming areas.,https://en.wikipedia.org/wiki/Sisquoc_River,26,9b50d1ef-0d20-452c-ac04-38b961e7702e,11138500,34.8397029,-120.1682063,26,https://rain.cosbpw.net/site/?site_id=26&site=9b50d1ef-0d20-452c-ac04-38b961e7702e
San Jose Creek above Goleta,SAN JOSE C NR GOLETA CA,U,"San Jose Creek is an urban stream that goes through the town of goleta and discharges to the ocean at Goleta Beach. This stream drains bush peak, and is potentially accessible via San Marcos Pass road. Swimmn is not advisable in the urban portions of this creek. ","Only swim here if you are well above the city of Goleta, swimming at or below Goleta can expose you to city runoff. Flows are typically not high making the swimming experience not very good.",,8,13511d32-b296-45e6-bb42-6797348aba3c,11120500,34.4591629,-119.8090283,95,https://rain.cosbpw.net/site/?site_id=8&site=13511d32-b296-45e6-bb42-6797348aba3c
San Pedro Creek at Goleta,San Pedro Creek,U,San Pedro Creek is an urban stream that goes through the town of Goleta and discharges to the ocean at Goleta Beach. Swiming is not advisable at or below the urban portions of this creek. ,"Only swim here if you are well above the city of Goleta, swimming at or below Goleta can expose you to city runoff. Flows are typically not high making the swimming experience not very good.",,617,d2a89de7-a0ab-4772-af7d-9e87b79e3eec,11120520,34.4486111,-119.8402778,60,https://rain.cosbpw.net/site/?site_id=617&site=d2a89de7-a0ab-4772-af7d-9e87b79e3eec
Maria Ygnacio Creek at Goleta, Maria Ygnacio Creek,U,Maria Ygnacio Creek is an urban stream that goes through the town of Goleta and discharges to the ocean at Goleta Beach. This stream was named after the Barbareno Chumash woman name Maria Ygnacia who owned a land in the area. She was key in preserving aspects of the Barbareno Chumash language and cultural practices. Swiming is not advisable at or below the urban portions of this creek. ,"Only swim here if you are well above the city of Goleta, swimming at or below Goleta can expose you to city runoff. Flows are typically not high making the swimming experience not very good.",,72,ca9e47b5-050c-4583-9396-076423ffef17,2528,34.445,-119.803,60,https://rain.cosbpw.net/site/?site_id=72&site=ca9e47b5-050c-4583-9396-076423ffef17
Atascadero Creek at Goleta,ATASCADERO C NR GOLETA CA,U,Atascadero Creek is an urban stream that goes through the town of Goleta and discharges to the ocean at Goleta Beach. Swmming is not advisable at or below the urban portions of this creek. ,"Only swim here if you are well above the city of Goleta, swimming at or below Goleta can expose you to city runoff. Flows are typically not high making the swimming experience not very good.",,7,d6550bea-c480-46b1-918f-78babadbdb36,11120000,34.4247189,-119.811805,12,https://rain.cosbpw.net/site/?site_id=7&site=d6550bea-c480-46b1-918f-78babadbdb36
Cuyama River below Los Padres,Cuyama River @ Buckhorn,,At this location the Cuyama River drains the Chumash Wildreness area of the Los Padres National Forest. Downstream it joins with the Sisquoc River forming the Santa Maria River. ,Swim at Red Rocks swimming hole if you are already in the Los Padres National Forest area.,https://en.wikipedia.org/wiki/Cuyama_River,135,2e9b48c5-c288-4d13-b4f2-f8abcfac504e,524,35.022,-120.228,,https://rain.cosbpw.net/site/?site_id=135&site=2e9b48c5-c288-4d13-b4f2-f8abcfac504e
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
