Reading,Flow(cfs),Stage(ft),Cross_Section(Ft2),Velocity (ft/s),Safety
2024-02-15 23:55:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:50:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:45:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:40:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:35:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:30:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:25:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:20:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:15:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:10:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:05:00,17,4.37,19.0969,0.890196838,S
2024-02-15 23:00:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:55:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:50:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:45:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:40:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:35:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:30:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:25:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:20:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:15:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:10:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:05:00,17,4.37,19.0969,0.890196838,S
2024-02-15 22:00:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:55:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:50:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:45:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:40:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:35:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:30:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:25:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:20:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:15:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:10:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:05:00,17,4.37,19.0969,0.890196838,S
2024-02-15 21:00:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:55:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:50:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:45:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:40:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:35:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:30:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:25:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:20:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:15:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:10:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:05:00,17,4.37,19.0969,0.890196838,S
2024-02-15 20:00:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:55:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:50:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:45:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:40:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:35:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:30:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:25:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:20:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:15:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:10:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:05:00,17,4.37,19.0969,0.890196838,S
2024-02-15 19:00:00,17,4.37,19.0969,0.890196838,S
2024-02-15 18:55:00,17,4.37,19.0969,0.890196838,S
